time,message,logger,level
2015-01-22 12:08:46.3679,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:46.5039,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:46.6129,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:46.7129,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:46.8139,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:46.9149,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.0159,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.1169,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.2189,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.3199,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.4209,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.5219,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.6229,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.7239,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.8250,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:47.9260,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:48.0270,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:48.1280,player.input.state = 3,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:48.2290,player.input.state = 6,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:48.2290,player.input.state = 6,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:48.2290,Running motion file for 01traffic.mp4,SlidingScreensVideoPlayer.Program,Info
2015-01-22 12:08:48.2290,Running motionExes\runmotion01.exe,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:48.3040,Playing video file 01traffic.mp4,SlidingScreensVideoPlayer.Program,Info
2015-01-22 12:08:48.3040,player.input.state = 6,SlidingScreensVideoPlayer.Program,Trace
2015-01-22 12:08:48.3040,Forcing fullscreen,SlidingScreensVideoPlayer.Program,Trace
