time,message,logger,level
2015-01-13 18:48:17.7310,Setting up default namespace manager.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:17.7310,Setting up default namespace manager.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:17.7310,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:17.7430,Initializing soapenv:body/ns3:getPlaylistResponse/playlist/ns2:frame/ns2:loops handle,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.5892,Initializing Main(),SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6052,Taking system to home position.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:38.6052,Calling the homing EXE,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6442,Error running the homing process. System will now exit! DO NOT ATTEMPT TO RUN ANY MOTION UNTIL HOMING IS DONE SUCCESSFULLY.,SlidingScreensVideoPlayer.Program,Fatal
2015-01-13 18:48:38.6952,Initializing List<string> playlist.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Start of while loop iteration.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:38.6952,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:38.6952,Reading playlist.xml.bak,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Initializing XmlDocument,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Initializing XmlReaderSettings,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Initializing XmlNamespaceManager,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Initializing XmlParserContext,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Initializing XmlReader,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,XML reader created.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:38.6952,XML namespace reader loaded successfully.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:38.6952,Setting up default namespace manager.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Setting up default namespace manager.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:48:38.6952,Default namespace set.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:48:38.6952,Initializing soapenv:body/ns3:getPlaylistResponse/playlist/ns2:frame/ns2:loops handle,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8342,Initializing Main(),SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8512,Taking system to home position.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:49:30.8512,Calling the homing EXE,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8902,Error running the homing process. System will now exit! DO NOT ATTEMPT TO RUN ANY MOTION UNTIL HOMING IS DONE SUCCESSFULLY.,SlidingScreensVideoPlayer.Program,Fatal
2015-01-13 18:49:30.8902,Initializing List<string> playlist.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,Start of while loop iteration.,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,Copying playlist.xml to playlist.xml.bak,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:49:30.8922,Attempting to read playlist XML file.,SlidingScreensVideoPlayer.Program,Info
2015-01-13 18:49:30.8922,Reading playlist.xml.bak,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,Initializing XmlDocument,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,Initializing XmlReaderSettings,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,Initializing XmlNamespaceManager,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,Initializing XmlParserContext,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,Initializing XmlReader,SlidingScreensVideoPlayer.Program,Trace
2015-01-13 18:49:30.8922,XML reader created.,SlidingScreensVideoPlayer.Program,Info
